personID,textID,interest,complexity,comprehension,familiarity
24,4504,3.00,5.50,4.67,3.75
25,11143,5.00,4.50,5.67,5.00
25,3819,5.33,5.50,3.67,5.00
25,3775,6.67,2.00,6.00,5.75
25,6474,4.67,1.00,7.00,5.75
25,6046,5.33,1.00,7.00,5.00
25,7784,4.67,5.50,5.67,5.25
25,10879,5.00,1.00,7.00,2.75
25,4701,2.67,1.00,7.00,3.50
25,13165,6.33,4.50,5.67,3.75
25,322,5.33,2.00,7.00,4.50
25,4504,5.00,5.00,5.00,3.50
25,6366,2.33,4.00,5.00,4.00
25,4584,6.00,2.00,6.33,4.75
25,5938,5.33,1.50,7.00,4.25
25,9977,2.67,5.50,5.00,4.00
25,2725,5.00,1.50,7.00,4.75
25,4094,4.33,1.50,7.00,5.00
25,11299,1.67,1.00,7.00,3.00
27,2725,2.00,2.50,5.67,3.00
27,6046,4.67,2.50,4.67,3.00
27,13165,5.67,3.00,6.00,4.25
27,4584,4.00,2.50,6.00,4.00
27,6366,2.33,3.50,4.00,4.00
27,5938,4.67,2.00,6.00,4.50
27,9977,4.33,2.50,6.00,4.75
27,3775,4.67,2.50,6.33,5.25
27,4701,1.00,2.00,5.00,5.50
27,10879,5.33,2.00,5.67,4.50
27,11299,5.33,1.00,6.67,4.00
27,6474,5.67,2.00,6.33,5.50
27,7784,5.67,3.00,5.67,5.75
27,322,6.33,1.50,6.67,4.75
27,4094,5.00,2.50,5.67,6.00
27,3819,5.00,3.00,4.67,5.75
27,4504,6.33,1.50,6.00,6.25
27,11143,5.67,4.00,6.33,6.75
29,322,5.00,2.50,6.00,6.25
29,13165,6.33,3.00,5.67,5.50
29,6366,5.33,4.50,5.33,5.00
29,9977,3.33,5.00,4.67,5.25
29,4094,3.67,3.00,6.00,5.75
29,6474,4.67,5.00,4.00,5.50
29,11143,6.00,4.50,5.00,6.00
29,4701,4.33,1.50,7.00,5.75
29,3819,4.67,6.00,4.67,5.75
29,7784,2.33,4.00,5.00,5.00
29,4504,6.33,2.50,7.00,6.75
29,11299,1.67,2.50,5.00,6.00
29,6046,5.33,1.00,7.00,3.00
29,4584,1.67,4.00,5.67,4.75
29,5938,4.33,2.00,6.00,4.75
29,2725,6.00,2.00,7.00,3.75
29,3775,6.00,2.00,6.00,4.50
29,10879,3.00,3.50,4.00,4.50
30,5938,3.67,5.00,4.67,1.50
30,4094,4.33,2.50,6.00,1.75
30,13165,6.33,2.50,6.00,2.00
30,6046,6.33,4.00,6.00,1.75
30,322,7.00,3.00,5.67,2.25
30,2725,3.67,2.50,6.00,2.75
30,6366,2.67,5.00,5.67,3.25
30,10879,1.67,3.50,5.33,3.25
30,4504,6.67,2.50,6.00,3.25
30,3819,4.67,5.50,5.00,3.50
30,4584,6.67,4.00,5.00,4.75
30,11299,3.00,1.50,6.67,5.00
30,7784,4.33,6.00,4.67,2.50
30,6474,2.67,2.50,6.00,3.50
30,3775,5.33,3.50,5.67,2.75
30,11143,5.00,4.50,4.67,4.00
30,4701,5.67,2.00,6.67,3.25
30,9977,1.67,5.00,5.00,2.50
32,4504,5.33,2.50,4.33,3.50
32,2725,6.00,2.50,5.67,4.00
32,6366,3.00,4.50,3.33,3.25
32,6474,4.00,3.50,5.00,4.00
32,4701,2.67,2.00,4.33,3.50
32,11299,2.67,4.50,2.67,4.50
32,3819,4.33,5.00,3.33,3.50
32,7784,5.33,4.00,3.67,3.25
32,9977,2.67,4.00,4.67,3.25
32,6046,6.00,2.50,4.67,3.25
32,10879,6.00,2.00,6.00,3.25
32,4584,5.33,5.00,2.67,3.75
32,13165,6.00,3.00,5.33,2.75
32,322,3.33,6.00,2.00,2.50
32,11143,5.67,3.50,3.67,3.50
32,4094,5.67,2.00,6.00,3.00
32,5938,2.00,3.50,4.33,3.00
32,3775,3.67,4.00,4.00,3.50
34,5938,3.33,3.50,4.00,3.25
34,7784,4.33,2.00,6.00,3.75
34,4504,4.67,4.00,2.00,3.25
34,10879,2.33,3.50,5.00,3.25
34,6046,6.00,2.00,6.00,3.75
34,4701,2.00,2.00,6.00,3.25
34,4094,2.00,2.50,5.00,2.25
34,3819,6.00,2.50,5.00,2.25
34,6366,2.00,3.50,5.00,2.50
34,2725,5.00,2.50,5.00,3.25
34,11143,5.00,2.50,5.00,3.75
34,13165,6.00,2.00,6.00,4.00
34,6474,4.67,2.50,6.00,4.25
34,9977,3.33,2.00,6.00,4.00
34,4584,4.00,2.00,5.00,3.75
34,3775,6.00,2.00,6.00,4.50
34,11299,2.00,2.00,6.00,3.50
34,322,6.00,2.00,6.00,5.50
35,3775,4.33,5.00,4.67,3.25
35,3819,5.33,5.00,5.33,4.25
35,11143,5.33,2.50,6.00,3.75
35,7784,6.00,2.50,6.33,4.00
35,4701,5.00,1.00,7.00,4.00
35,6046,6.00,1.00,6.67,4.00
35,4094,6.00,1.50,7.00,5.50
35,2725,7.00,1.00,7.00,5.75
35,6366,5.67,2.00,6.00,5.75
35,6474,7.00,1.00,7.00,6.00
35,9977,7.00,1.00,7.00,6.25
35,11299,4.33,1.00,7.00,6.50
35,10879,7.00,1.00,7.00,3.00
35,13165,5.67,2.00,6.00,2.75
35,5938,4.67,2.00,6.00,3.25
35,322,5.67,2.00,6.00,2.75
35,4504,5.33,1.00,7.00,3.50
35,4584,4.00,1.50,6.67,3.50
36,5938,5.00,2.00,6.00,2.75
36,322,4.33,4.50,2.67,2.50
36,4094,5.00,2.00,6.67,3.25
36,4584,4.33,4.50,4.33,2.75
36,6046,6.00,1.00,7.00,4.00
36,11143,6.33,2.00,6.00,4.00
36,6474,6.33,1.50,7.00,4.50
36,4504,7.00,1.00,7.00,5.00
36,4701,4.00,1.00,7.00,4.75
36,7784,7.00,1.50,7.00,5.25
36,13165,7.00,1.50,7.00,5.75
36,11299,2.00,1.00,7.00,5.50
36,9977,6.33,1.50,7.00,4.25
36,3775,6.33,1.00,7.00,3.75
36,6366,6.67,1.50,7.00,3.50
36,3819,5.67,3.50,5.00,3.50
36,2725,5.00,1.00,7.00,4.25
36,10879,5.67,4.50,5.00,3.00
