"document","fix150","sac70","fix300","sacm","sac105","fix600","fixm","sac35","sac140","fix450","sac","pid","tid"
"text305",22,31,50,26,55,15,15,12,11,34,0,"29","5938"
"text306",33,42,70,36,46,15,5,16,22,40,0,"29","6046"
"text307",24,46,55,28,63,29,24,13,15,34,0,"29","6366"
"text308",53,64,91,32,68,24,15,35,28,45,0,"29","6474"
"text309",27,52,57,22,55,19,22,18,15,38,0,"29","9977"
"text310",19,42,33,26,57,26,38,18,14,42,0,"30","11143"
"text311",9,28,23,18,47,31,24,6,21,34,0,"30","11299"
"text312",12,34,37,29,44,27,20,11,16,39,0,"30","13165"
"text313",9,26,29,24,47,29,29,9,17,28,0,"30","2725"
"text314",10,31,48,25,60,33,22,13,18,35,0,"30","322"
"text315",20,38,41,36,59,28,32,12,20,45,0,"30","3775"
"text316",27,51,53,24,65,31,33,24,17,38,0,"30","3819"
"text317",11,26,32,35,54,37,29,12,21,40,0,"30","4094"
"text318",10,33,47,30,46,29,15,10,21,40,0,"30","4504"
"text319",17,34,31,21,50,24,18,6,12,34,0,"30","4584"
"text320",11,31,23,24,51,30,40,12,11,26,0,"30","4701"
"text321",21,35,53,61,94,52,66,13,48,60,0,"30","5938"
"text322",17,49,50,36,71,30,22,7,19,64,0,"30","6046"
"text323",24,41,46,39,69,37,31,18,16,46,0,"30","6366"
"text324",11,26,30,21,46,22,23,7,19,34,0,"30","6474"
"text325",24,29,40,32,63,32,31,19,21,38,0,"30","9977"
"text326",15,11,26,29,33,17,6,4,18,32,0,"34","11143"
"text327",29,15,30,29,26,9,2,8,9,18,0,"34","13165"
"text328",22,21,49,31,36,14,15,19,27,35,0,"34","2725"
"text329",15,38,45,26,51,23,29,14,13,31,0,"34","3819"
"text330",19,32,56,27,36,14,8,6,20,25,0,"34","4094"
"text331",25,25,55,35,32,7,9,8,21,26,0,"34","4504"
"text332",26,23,64,33,45,15,9,15,22,25,0,"34","6046"
"text333",24,30,43,33,30,14,15,9,23,30,0,"34","6366"
"text334",7,11,37,27,42,15,15,7,22,36,0,"34","7784"
"text335",13,23,23,19,41,29,8,9,8,28,0,"35","10879"
"text336",15,37,38,36,75,38,32,4,18,48,0,"35","11143"
"text337",9,22,17,13,43,29,8,3,11,30,0,"35","11299"
