"","personID","textID","interest","complexity","comprehension","familiarity"
"167","12",3819,4.75280898876404,4.5,4,2.75
"168","12",4504,2.50561797752809,3,6.57510729613734,2.75
"169","12",5938,5.49438202247191,6,4,3.5
"170","12",6474,6.24719101123596,3.5,4.86266094420601,4.5
"171","12",2725,7,2,5.71244635193133,5
"172","12",10879,6.24719101123596,1,6.15021459227468,4.25
"173","12",4094,7,1,7,5.25
"174","12",11299,5.49438202247191,1.5,4.86266094420601,4.5
"175","12",13165,6.24719101123596,3.5,6.57510729613734,2.75
"176","12",4701,3.62921348314607,4,4.42489270386266,3.75
"177","12",322,5.49438202247191,3.5,3.13733905579399,3.25
"178","12",6366,2.87640449438202,6.5,1.84978540772532,3.25
"179","12",4584,2.50561797752809,6.5,0.999999999999999,3
"180","12",3775,2.12359550561798,6.5,1.84978540772532,2.75
"181","13",7784,1.804,7,2.5,4
"182","13",4504,7,1.66666666666667,7,4
"183","13",6474,3.004,7,3.505,4.75
"184","13",4701,4.204,1,7,5
"185","13",9977,3.4,3.66666666666667,1.51,4.75
"186","13",11299,2.2,2.33333333333333,5.005,4
"187","13",5938,2.2,5,4.51,2.75
"188","13",2725,4.6,2.33333333333333,6.505,3.5
"189","13",322,3.796,5.66666666666667,0.999999999999999,3.75
"190","13",11143,5.404,5,6.505,4.5
"191","13",10879,2.2,3,5.005,3.5
"192","13",4584,1,3,5.005,3
"193","13",6366,3.4,5,4,3.5
"194","13",4094,4.204,2.33333333333333,6.505,4.75
"195","13",3775,5.404,3.66666666666667,6.505,3.25
"196","13",3819,5.404,5.66666666666667,5.5,3.75
"197","13",13165,5.8,5,6.505,4.25
"198","13",6046,4.6,2.33333333333333,6.505,4.5
"199","14",13165,3.5695931477516,5.28571428571429,4.22863741339492,4
"200","14",6474,2.2847965738758,5.28571428571429,0.999999999999999,5
"201","14",11143,1.43683083511777,6.14285714285714,0.999999999999999,4.75
"202","14",4584,2.2847965738758,6.14285714285714,2.38568129330254,5
"203","14",3819,1.86081370449679,7,1.45727482678984,5.25
"204","14",322,5.7152034261242,1.85714285714286,5.61431870669746,5.5
"205","14",6366,2.2847965738758,6.14285714285714,3.30023094688222,3.25
"206","14",5938,4.43040685224839,4.42857142857143,4.22863741339492,3.25
"207","14",2725,4.85438972162741,1.85714285714286,5.61431870669746,4
"208","14",9977,4.00642398286938,3.57142857142857,4.22863741339492,4
"209","14",7784,3.14561027837259,2.71428571428571,4.22863741339492,2.75
"210","14",3775,5.7152034261242,3.57142857142857,5.15704387990762,4.5
"211","14",11299,2.2847965738758,1,4.68591224018476,1.5
"212","14",4094,4.85438972162741,2.71428571428571,4.68591224018476,2.25
"213","14",10879,1.43683083511777,4.42857142857143,2.84295612009238,2.5
"214","14",4701,1,3.57142857142857,4.22863741339492,3.25
"215","14",6046,5.7152034261242,2.71428571428571,5.61431870669746,2.75
