"RT","FD.mean","FD.sd","FD.skw","FDE.mean","FDE.sd","FDE.skw","FS.mean","FS.sd","FS.skw","NF","DR","FPS.mean","FPS.sd","FPS.skw","SD.mean","SD.sd","SD.skw","SV.mean","SV.sd","SV.skw","RRS","YDIST","pid","tid"
82883774,677715.247524753,698156.096725946,4.34796110019577,714101.084210526,704279.734058781,4.38647931506519,74.6867595503744,45.7354112667263,2.53523111185135,101,4.69509613212836,189.043219574249,37.5758886694978,-3.4159730319806,144345.34,308876.259980007,4.83941854661644,0.00207073222805903,0.00210577868821,2.34370023138057,0.13,3027.8307350212,16,3775
71619173,535012.148148148,413457.242697348,2.03807064680117,565003.504950495,410968.890643942,2.08304069468929,74.263086430187,72.4748563988567,4.0925195664577,108,4.13693271321716,196.316719772337,40.044659240004,-2.30541361056843,129325.803738318,268281.399871037,4.73604587121237,0.00252991753451304,0.0034130133455094,3.03144372169278,0.196261682242991,3685.92459566767,16,3819
128717037,527248.300469484,326897.448425147,0.959209117143657,541768.631067961,322589.567553102,0.976421050618331,66.0759703945538,56.1152275083891,4.7122328198095,213,6.81018856890476,190.404071004594,21.6730888818432,-2.94960124900794,77420.5141509434,83925.5086271559,2.80095552987726,0.00239822101815376,0.00280646054191137,2.17791596528621,0.193396226415094,3555.50992864907,16,4504
154080936,514298.81124498,409165.937102906,1.7654476286293,533439.235294118,408484.019448607,1.76432395723384,65.0265760581472,47.4573893518579,4.30478525245764,249,4.90174855720686,191.851974362554,33.4695567690571,-2.79940209241736,104921.5,193771.873182356,5.77175771178687,0.00220683618279652,0.0027241814803542,2.49117358729375,0.278225806451613,6159.39478475179,16,4584
119253767,563869.494318182,347903.401090804,1.25229988438192,577428.941520468,343637.51836262,1.29156132451139,66.2189986535792,49.1525167044117,3.31474061381984,176,4.93071819393819,200.236127485796,40.4955756374912,-1.73676651004598,114358.491428571,248772.071347018,6.93382403270401,0.00238144497277911,0.00384529629534591,6.16828580064545,0.222857142857143,5491.5693211919,16,5938
105410564,582027.159509202,392516.4363831,1.17585736511641,594160.270440252,389785.53080787,1.1856403094972,71.7461191310748,54.5925872945517,3.93831681744784,163,8.94565220931102,192.295369041455,22.9762024296358,-3.48150056686476,65062.5740740741,66653.3236288167,3.40255268319664,0.00274558520069924,0.00312202998650291,2.15277932472876,0.216049382716049,3743.84966614416,16,6046
90245367,577430.737226277,343462.542031007,1.96839121409487,588244.828358209,339478.152252593,2.05398400815006,63.9150184513221,27.6091421209213,0.00324628961810124,137,7.05109724990148,190.315588891724,29.3263975316908,-1.96081222223326,81892.3235294118,171201.130923181,9.2847482062653,0.00255973484903501,0.00310478158199985,2.3742545014721,0.169117647058824,2541.98587939648,16,6474
77066148,358413.590425532,226492.572040418,1.70996429055415,366872.741758242,225264.704877559,1.73200759639364,69.3838018694657,29.3660591019583,0.0558307042711828,188,6.92075811148664,99.7136776888214,11.0356738042938,-0.349608012646388,51788.1978609626,53022.0246691861,3.65656176548444,0.00299823715901618,0.00334135914530606,3.08956274446084,0.283422459893048,5995.00000069236,17,10879
79762714,369623.259459459,235491.160258119,1.31041176069088,385029.045714286,232867.399619997,1.32342306921192,72.93242993749,38.5166993702174,2.07691579173225,185,5.97506800101846,103.595731332974,14.1108614050241,-0.14055299644375,61860.9293478261,82521.0304669893,5.54384433170431,0.00253042595674457,0.00269511867188277,3.11415901698871,0.28804347826087,6317.75106024174,17,11143
66580086,356943.790123457,206288.243653408,0.964929941435784,375615.973509934,201262.295608192,0.987422868916884,73.998965419281,52.1169441891799,3.84227524065455,162,6.563870924804,98.2601887245331,9.96637180549199,0.265896849035283,54380.0745341615,48367.2083519083,2.71189830324337,0.00257376628118077,0.00273734383197519,2.75065906148305,0.260869565217391,3972.70458765348,17,13165
58770390,373130.528985507,221047.841861459,1.00962189230755,387735.053435115,217384.281992983,1.02370927211037,71.6822035373614,28.1822771993175,0.288750889343997,138,7.02339030679704,104.668078962504,11.4822801472074,0.27892101821974,53126.8394160584,55688.9390006502,3.90482660939866,0.00277879782094784,0.00292844048298161,2.70759232776587,0.284671532846715,4228.55302717518,17,2725
62913472,353424.870967742,219853.29406668,1.20606979851724,374759.741258741,215636.022807203,1.22681165965583,73.6182233742197,33.6296568120418,0.851837367745986,155,6.69248657953919,101.982092592431,9.3127640103409,-0.328727921518107,52809.2012987013,45499.3328205599,4.25194078047413,0.00259353305977718,0.00232605494528848,2.35563855063248,0.25974025974026,4815.38769430012,17,3775
82112578,328137.660465116,210099.380789056,1.37327427439463,342814.178217822,208366.223055312,1.37193214706744,73.4293741934872,53.3526085823783,2.54428320185828,215,6.07295465931622,104.604227516391,10.7273137080404,0.622651391799699,54032.6214953271,51331.2578424856,3.13242964798063,0.00298122933904453,0.00337891924525665,3.35434411525083,0.336448598130841,9209.76058909355,17,3819
50313954,270359.797297297,146226.893940022,1.25312977953114,285388.625,143096.595444499,1.28952188489988,88.3243820651842,52.715244546255,3.02456042600059,148,3.85826931855363,100.818516710263,9.04689443448676,-0.0538139944656571,70072.8163265306,78219.892615855,3.16306817223563,0.00266871138306581,0.00214885812448869,2.08039701630806,0.346938775510204,5478.37904479247,17,4094
57297161,313738.429487179,163581.239056085,0.815449291628902,325293.22972973,159980.816375308,0.831831141081154,80.4393805776796,34.993662499231,0.961739405321888,156,5.82112215569381,109.889596996552,11.7379494584868,0.0438108018495364,53896.5548387097,44540.6438263905,2.26367983461297,0.002737766443148,0.0026585343808501,2.78788435772675,0.283870967741935,4060.23337528354,17,4504
100485466,362170.417355372,236812.066104399,1.61923584117991,372174.463519313,235694.677512121,1.63017016948291,84.9118180671022,58.9762337771917,3.60196997493794,242,6.79762781280271,106.761041463567,13.8132989485523,-1.03491397173728,53278.9419087137,47426.0830610465,3.14492153294585,0.0030388087800995,0.00323642716363643,3.59087512389238,0.286307053941909,8416.81915288402,17,4584
61929985,330921.402515723,222618.215376048,3.35985049705818,344778.6,221669.128851475,3.48956838796163,60.8307580044641,35.9961771493161,0.711801453722628,159,5.6139671067689,95.7445649901297,9.47119994954019,-0.113774224981636,58946.0886075949,57297.7586766524,3.01760041356245,0.00276396826871997,0.00331207022011769,3.77593933227846,0.322784810126582,7619.51074074901,17,4701
