"start","end","dur","x","y","pupil"
431491290830,431491590724,299894,620.443297647059,277.714351764706,140.926270454737
431491741124,431491874407,133283,470.828148888889,107.042982222222,142.967601962222
431491907368,431492490885,583517,395.435823333333,100.225082777778,146.509831187778
431492524029,431492790774,266745,401.297941176471,33.0927470588235,150.72937222
431492824030,431493143522,319492,509.221378,40.500506,150.49487916
431493174093,431493407531,233438,628.868905333333,54.4959306666667,150.402930036
431493440744,431493657599,216855,715.400092857143,40.5051514285714,149.129711811429
431493690655,431493990667,300012,777.602681052632,39.7975610526316,153.48575256
431494057409,431494224022,166613,439.923412727273,101.70772,159.948434490909
431494257375,431494674118,416743,439.179896923077,113.84447,163.667713791154
431494707242,431495073963,366721,535.24324,122.48649826087,161.070713757826
431495107262,431495757336,650074,634.5723505,118.5508055,154.55568658375
431495790560,431496090552,299992,739.282771578947,107.600538947368,148.745405531579
431496123896,431496707114,583218,824.916731111111,106.973412222222,144.874874729444
431496740611,431497223906,483295,887.060148,99.8498093333333,145.184342288667
431497307119,431497857219,550100,412.148646470588,125.394873529412,150.687165356471
431497890546,431498343747,453201,495.46073,148.210268571429,154.761759341429
431498373955,431498757252,383297,435.281605,140.080634166667,159.923406261667
431498790392,431498890389,99997,591.246685714286,147.93108,163.1309278
431498923775,431499023772,99997,749.020802857143,133.669865714286,157.405780988571
431499057058,431499373838,316780,762.868986,116.916244,159.6440086745
431499406980,431499607003,200023,552.981010769231,112.878481538462,159.191597495385
431499643942,431499857091,213149,467.79634,114.925904285714,157.411994774286
431499890428,431500274013,383585,420.5611,111.007920833333,160.146252299583
431500306980,431500742615,435635,540.236099259259,124.689717037037,158.545159213704
431500773734,431501107000,333266,631.410048571429,119.049837142857,154.954484456667
431501142707,431501343659,200952,731.228221538462,110.06214,151.404612310769
431501373713,431501806867,433154,842.798340740741,102.321851111111,147.813773028148
431501843737,431501956940,113203,880.8502075,80.4677325,144.1128453275
431502040381,431502606873,566492,452.396416571429,140.097039428571,153.935603734857
431502643091,431503373575,730484,565.038085777778,140.855473777778,150.819760018444
431503406874,431503843005,436131,639.905641428571,126.585974285714,146.821946865
431503873579,431504573612,700033,727.257102325581,130.30658372093,142.115324507674
431504606731,431504973465,366734,826.181463478261,124.241400869565,140.01173601913
431505006729,431505206742,200013,870.93892,110.871664615385,139.419322390769
431505273586,431505556816,283230,402.482864444444,139.128201111111,143.251314761111
431505590153,431506306745,716592,412.50508,156.240541818182,152.844630531591
431506373706,431506623397,249691,748.9581,142.4834625,150.30139251
431506656747,431507423269,766522,743.757070212766,127.760272765957,149.880009915532
431507456747,431508073462,616715,847.460461052632,121.510451052632,150.073002422368
431508156707,431508973345,816638,444.1691064,158.420464,158.5906856106
431509006503,431509539977,533474,557.015492727273,163.649661818182,155.854705728788
431509573579,431509956556,382977,653.87185,146.9488775,156.164342915417
431509989967,431510306495,316528,736.38786,146.26996,155.296761299
431510343623,431510706488,362865,794.21530173913,136.718254782609,152.326611731304
431510739864,431511373265,633401,689.898127179487,138.156245128205,151.863118569487
431511406379,431511656437,250058,816.35021125,129.5923825,144.967293610625
431511689763,431511823143,133380,862.105246666667,140.213822222222,143.593692466667
