"start","end","dur","x","y","pupil"
8811522877,8811652901,130024,596.582008571429,478.533397142857,143.470111744444
8811679432,8811873041,193609,594.344192307692,414.426627692308,141.220331166154
8811989467,8812189473,200006,498.248603076923,136.367503076923,142.388626312308
8812245196,8812522831,277635,382.822547777778,100.503541111111,130.858313346111
8812556275,8812856235,299960,446.48390631579,102.417911578947,122.769803228421
8812889473,8813145924,256451,606.9271425,89.07405125,123.926843938125
8813173120,8813322722,149602,669.546304,72.707928,131.993470043
8813356190,8813906105,549915,796.961724705882,52.0983352941176,138.066503242059
8814056123,8814189335,133212,817.403326666667,58.24732,142.174473462222
8814389336,8814572772,183436,369.36697,100.84351,147.690825619167
8814606081,8814822710,216629,465.154438571429,113.506744285714,143.161040255
8814872771,8814972765,99994,635.689571428571,57.5891285714286,131.763745508571
8815005935,8816445407,1439472,653.155528045977,71.0660388505747,137.342517318046
8816505922,8817205923,700001,362.884573953488,155.161728372093,149.931517715116
8817245190,8817805781,560591,458.209233714286,164.369515428571,140.925545569429
8817846039,8818355981,509942,557.58175125,155.003964375,142.846875279375
8818389231,8819005810,616579,643.88283631579,147.453838421053,147.552842843947
8819043091,8819555895,512804,723.49069625,151.237801875,143.351336285312
8819589095,8820222468,633373,827.53002,130.503081538462,137.453316904872
8820255768,8820405685,149917,899.01048,119.304762,134.902579391
8820489066,8821072394,583328,359.114651111111,175.945537222222,141.952535787222
8821105676,8821622333,516657,429.613123125,172.342231875,140.113061686563
8821655857,8821755761,99904,407.804357142857,180.177005714286,141.539716192857
8821788989,8822455719,666730,535.185318536585,175.327315609756,141.776243879024
8822488949,8823005552,516603,637.43759,160.542331875,137.073116433437
8823045000,8823488942,443942,742.519511428571,150.421754285714,128.093195982143
8823522201,8823855659,333458,832.838495238095,133.737740952381,125.525061808571
8823888976,8824055643,166667,895.912592727273,119.524814545455,126.198578543636
8824146294,8824772490,626196,337.308239487179,187.237822564103,135.923276428205
8824955512,8825288830,333318,753.995859047619,148.513287619048,138.792064754286
8825322213,8825605414,283201,813.422637777778,151.639466666667,144.205728013333
8825639092,8826172294,533202,626.142739393939,167.024976969697,149.601119252727
8826205420,8826688769,483349,743.329022,160.834139333333,153.619780038667
8826722075,8827205408,483333,843.045653333333,152.278227333333,149.598773252333
8827355618,8828572178,1216560,364.944768378378,190.369614054054,146.21112066527
8828605299,8828955713,350414,446.886978181818,186.65349,145.058180224091
8828988710,8829188603,199893,564.219323076923,162.128312307692,146.167427476923
8829221952,8829621946,399994,580.247856,165.3065088,145.8676192336
8829658941,8830138710,479769,663.22457,181.576037333333,148.798019250333
8830172062,8830555248,383186,770.179225833333,166.073844166667,149.699702024167
8830588587,8830971907,383320,800.298738333333,171.822456666667,152.711099421667
8831005186,8831155283,150097,854.24299,165.835032,153.028034078
8831221828,8831345923,124095,355.699425,199.2468575,164.7688919225
8831372100,8831543108,171008,331.808427272727,218.056,166.999427515455
8831621823,8831938588,316765,862.14049,159.692029,150.7835880655
8832021813,8832956068,934255,386.680009824561,212.62639122807,151.368594150526
8832988439,8833621710,633271,488.202510769231,218.992808205128,149.466709962821
8833655208,8833939308,284100,586.967678888889,208.05297,150.500040803889
8833988495,8834088397,99902,798.251754285714,199.75186,144.524696177143
8834121684,8834321707,200023,870.214258461539,169.399996923077,140.000512902308
8834388346,8834645979,257633,409.46732,219.16882125,147.725769835
8834672233,8835104926,432693,406.769485925926,217.361171851852,142.509833844444
8835138470,8835655012,516542,516.77535375,213.066909375,141.11353521375
8835688386,8836388330,699944,612.536130697674,205.920056744186,144.664226625814
8836421550,8836821590,400040,711.7973584,196.1285968,143.4376855304
8836855060,8837155858,300798,807.369287368421,179.866064210526,138.988598515789
8837188218,8837388215,199997,869.760558461538,173.794410769231,135.653770628462
8837471791,8837921576,449785,330.281814285714,222.375948571429,143.5322689125
8838088269,8838454887,366618,413.356340869565,223.221306086957,137.622219703478
8838488188,8839043054,554866,469.12936,227.257424705882,134.428783075294
8839071701,8839721530,649829,584.883976,223.536604,135.7152863725
8839754888,8840188110,433222,684.755086666667,215.00200962963,140.066497652222
8840221451,8840971396,749945,785.039260434783,206.869555217391,141.266498495435
8841043033,8841288184,245151,417.244365,222.81011375,149.380585630625
8841321335,8841921319,599984,417.226351891892,225.854225945946,142.826370667568
8841954772,8842621699,666927,428.688753658537,213.881776097561,139.80182063
8842654794,8843304611,649817,439.794715,191.973545,139.24650575775
8843340109,8843621192,281083,516.978297777778,188.111888888889,140.250283237222
8843804545,8844204544,399999,620.2059904,184.314784,147.5666298772
8844245175,8844587819,342644,720.603535454546,171.14173,137.740303373636
8844621207,8845043062,421855,819.672874615385,156.329137692308,133.146371910385
8845071502,8845637916,566414,871.532138857143,157.913530285714,137.410388982571
8845721085,8846087850,366765,342.857233913044,219.707996521739,146.641549356957
8846121075,8846704435,583360,356.941012777778,219.559213333333,142.580082327222
8846737816,8847221090,483274,472.569018666667,211.115556666667,138.420673838
8847254542,8848104316,849774,590.026877307692,199.933761923077,138.380190429038
8848146032,8848787736,641704,664.2823085,196.589164,136.479299178
8848820966,8849137678,316712,759.752488,192.013892,135.1079805705
8849171135,8849520945,349810,847.676908181818,178.230072727273,137.153646439091
8849604303,8849887657,283354,326.852234444444,218.130278888889,145.190590932222
8849920963,8850571197,650234,361.9992275,225.9075975,138.6752451315
8850604169,8850987605,383436,450.87636,217.2817725,137.0832945875
8851020830,8851270907,250077,535.51798,223.426595,137.1109878325
8851304169,8851504185,200016,608.748998461538,205.438153846154,136.599643577692
8851544927,8851820841,275914,658.350797777778,190.705885555556,137.099947167778
