"start","end","duration","startx","starty","endx","endy"
99663892215,99663921436,29221,397.7717425,116.83988,393.266943529412,120.018307058824
99664188130,99664221426,33296,393.266943529412,120.018307058824,377.828658,140.94035
99664371549,99664421418,49869,377.828658,140.94035,373.086776666667,40.5352133333333
99664671596,99664704618,33022,373.086776666667,40.5352133333333,404.7525775,31.303705
99664821418,99664855089,33671,404.7525775,31.303705,443.45462,28.2201133333333
99664988099,99665021276,33177,443.45462,28.2201133333333,495.002034545455,28.0098072727273
99665188063,99665221303,33240,495.002034545455,28.0098072727273,522.805334285714,24.4734285714286
99665321276,99665721297,400021,522.805334285714,24.4734285714286,723.558141428572,5.65459285714286
99665933680,99665958521,24841,723.558141428572,5.65459285714286,759.997555384615,2.52496923076923
99666142773,99666387955,245182,759.997555384615,2.52496923076923,372.9038,48.3487733333333
99666571349,99666604658,33309,372.9038,48.3487733333333,366.837268333333,67.79329
99666788042,99666871443,83401,366.837268333333,67.79329,495.96220952381,88.6580580952381
99667204501,99667246656,42155,495.96220952381,88.6580580952381,537.506114285714,75.0481271428571
99667455060,99667487942,32882,537.506114285714,75.0481271428571,526.313333333333,64.0953466666667
99667621170,99667654571,33401,526.313333333333,64.0953466666667,512.882777142857,64.1458885714286
99667871352,99668021157,149805,512.882777142857,64.1458885714286,391.957177142857,128.910994285714
99668121148,99668154631,33483,391.957177142857,128.910994285714,378.903298181818,140.79886
99668321168,99668354588,33420,378.903298181818,140.79886,359.293988333333,160.965256666667
99668737899,99668771350,33451,359.293988333333,160.965256666667,392.258755,155.199225
99668954495,99668987801,33306,392.258755,155.199225,428.127344,151.260908
99669221158,99669255783,34625,428.127344,151.260908,444.2706675,135.2804175
99669372259,99669439787,67528,444.2706675,135.2804175,497.818574285714,145.702294285714
99669546982,99669571414,24432,497.818574285714,145.702294285714,515.125125714286,156.524528571429
99669787819,99669821183,33364,515.125125714286,156.524528571429,546.87806,167.983131428571
99669921169,99669954512,33343,546.87806,167.983131428571,602.717134,164.251691
99670271065,99670304433,33368,602.717134,164.251691,627.2732,153.31914
99670404369,99670447667,43298,627.2732,153.31914,642.454747586207,149.894523448276
