"start","end","dur","x","y","pupil"
346256503650,346256595504,91854,625.107651428571,260.987185714286,182.853633895714
346257070434,346257170282,99848,420.717865714286,34.0350828571429,177.02329449
346257203663,346257387171,183508,408.84996,23.220905,175.819177079167
346257955951,346258103669,147718,462.28834,30.170556,177.504369306
346258136843,346258236816,99973,424.319271428571,29.5258828571429,183.033555181429
346258270296,346258387084,116788,363.22231,34.5991125,170.93906266125
346258836837,346258953593,116756,559.494982222222,10.7771666666667,177.861082576667
346260420061,346260586933,166872,388.975,87.0265654545455,174.031343501818
346260803469,346260903490,100021,567.716894285714,33.1479428571429,175.47240572
346261186736,346261303344,116608,403.2905975,53.181225,180.580615275
346261386957,346261486970,100013,553.919422857143,22.7365,185.913374074286
346262253309,346262503374,250065,591.82803625,58.08535375,198.492170325625
346262603370,346262786884,183514,447.428528333333,104.044085,186.1379096075
346262903368,346263036559,133191,509.09222,74.9354888888889,187.333656683333
346263119899,346263219913,100014,545.727682857143,49.4438371428571,181.761203814286
346263253284,346263403362,150078,558.997016,30.622796,185.558579185
346263436571,346263536582,100011,592.581731428572,38.3423314285714,182.674865844286
346263719981,346263870026,150045,347.177242,170.335068,180.309932675
346263903268,346264103224,199956,346.161773846154,178.584889230769,175.66048364
346264153159,346264286641,133482,383.373593333333,161.3642,178.236954925556
346264353179,346264453224,100045,439.797848571429,155.623931428571,181.59573172
346264586741,346264869968,283227,374.2994,156.297454444444,180.362362015556
346264903275,346265036605,133330,374.417024444444,154.39982,182.176683848889
346265069849,346265236583,166734,422.513549090909,153.817901818182,181.62768014
346265319768,346265586723,266955,513.902027058824,138.280897647059,187.711207036471
346265703481,346265853205,149724,594.711772,121.30978,183.129632426
346265920243,346266019841,99598,662.259817142857,108.013051428571,180.602037521429
346266286497,346266386479,99982,744.524262857143,104.587485714286,170.665090354286
346266419812,346266671958,252146,760.0535725,93.80500625,167.9846117375
346266703112,346266803111,99999,812.830682857143,79.59592,166.133012295714
346266886890,346267053037,166147,855.73638,59.9646854545455,167.138530133636
346267219659,346267336453,116794,731.1437275,103.21621,174.21736346125
346267403130,346267503111,99981,685.379825714286,100.351445714286,177.66750023
346267536482,346267686492,150010,672.1828,85.601868,176.54066047
346267769839,346268036378,266539,582.021314117647,94.9174941176471,181.853717032941
346268203260,346268289816,86556,672.579594285714,139.630202857143,181.096215871429
346268369796,346268586465,216669,740.836078571429,102.74036,185.373129072857
346268619662,346268819658,199996,711.741063076923,112.286333846154,181.97535994
346268852960,346268952928,99968,734.665874285714,92.1128142857143,173.613687881429
346269019688,346269136339,116651,801.9902075,76.1388025,170.50266996875
346269169771,346269419672,249901,813.2583625,74.6872625,174.27954702625
346269470076,346269586569,116493,853.44609,93.730515,177.63920768875
346269769695,346269886359,116664,829.2087525,104.53502,184.2533009625
346269919575,346270069670,150095,814.068096,92.097992,177.932429299
346270103036,346270269635,166599,853.13996,101.604023636364,179.059510438182
346270336320,346270619545,283225,918.891187777778,79.15846,177.553135241111
346270819963,346271086457,266494,365.949272941177,178.509162352941,177.189932275294
346271602865,346271869659,266794,441.779371764706,182.438969411765,179.894918851765
346271936196,346272102913,166717,472.85816,162.863378181818,180.254247923636
346272186244,346272403051,216807,562.241062857143,155.330678571429,181.230335246429
346272469494,346272752840,283346,679.106392222222,140.338527777778,172.683450934444
346272869549,346272969531,99982,752.059677142857,129.15154,173.191679888571
346273002909,346273152862,149953,763.281122,113.903002,172.134881325
346273219418,346273502855,283437,853.932204444445,94.56002,171.337780871111
346273536076,346273719561,183485,840.486168333333,97.3091833333333,172.969683055833
346273752802,346273852729,99927,897.204774285714,91.4743657142857,175.528486761429
346273886379,346274002739,116360,907.0462,85.812825,176.13244970125
346274036073,346274171648,135575,852.585391111111,85.4796088888889,179.725458383333
346274202732,346274336125,133393,826.496808888889,97.6875755555556,181.495632044444
346274369576,346274569574,199998,809.292655384615,117.116370769231,182.76316702
346274919294,346275019285,99991,908.2395,141.671417142857,183.235805315714
346275052687,346275152678,99991,936.611628571429,122.459634285714,178.123193274286
346275302739,346275535982,233243,335.300926666667,168.533394666667,174.266493611333
346275686171,346275935965,249794,421.49726125,188.5656,176.30022541625
346276019338,346276153159,133821,547.122753333333,153.60326,183.152960168889
346276219325,346276335925,116600,648.407625,128.853705,181.6246470575
346276485975,346276702636,216661,585.390388571429,171.622552857143,189.582063566429
346276835975,346276986233,150258,533.753358,130.484868,185.535523686
346277019339,346277135989,116650,530.8010275,129.352275,190.13198885375
346277319202,346277702882,383680,585.5716375,164.10448,201.3463503675
346277735961,346277952576,216615,619.298618571429,168.296622857143,201.449390448571
346278002886,346278102640,99754,656.424111428571,175.031297142857,201.42163303
346278252566,346278369296,116730,751.959285,143.774255,193.5647138675
346278402637,346278535806,133169,789.160935555556,135.623648888889,187.495033942222
346278685969,346278819196,133227,873.569326666667,133.373686666667,188.143376626667
346278969280,346279119224,149944,932.119774,128.26433,189.546716145
346279269298,346279386085,116787,397.639335,207.5123025,192.56526209625
346279673067,346279802734,129667,567.562402222222,173.070591111111,188.317756167778
346280052463,346280169176,116713,582.4786675,200.971555,181.891893355
346280202633,346280319089,116456,605.30165,187.942535,181.08847125625
346280352437,346280519093,166656,626.555030909091,174.239709090909,174.106014326364
346280552423,346280869241,316818,586.366202,172.363461,170.7214355035
346281069182,346281319080,249898,651.0173925,193.36379875,174.4335186475
346281369210,346281469130,99920,718.108191428571,172.556368571429,173.778213135714
346281502385,346281735680,233295,720.920946666667,171.548290666667,173.93104402
346281769143,346281902406,133263,714.969811111111,149.881831111111,172.045165085556
