"start","end","dur","x","y","pupil"
15097562032,15097734584,172552,381.349763333333,155.924141666667,102.15669637
15097761518,15097928885,167367,374.584863636364,168.128236363636,95.9362626009091
15097961565,15098144949,183384,367.692633333333,118.905163333333,92.4486797191667
15098211442,15098361661,150219,438.430256,104.135848,90.964610691
15098434475,15098744907,310432,535.704708,106.146477,87.6594391875
15098778058,15098894751,116693,531.7656375,111.7378075,91.10298084625
15099028204,15099261646,233442,634.991110666667,113.857993333333,100.50263159
15099346532,15099678188,331656,705.286085714286,98.7681571428571,112.284742292857
15099894634,15099994638,100004,394.650122857143,110.340477142857,117.64954324
15100194619,15100334882,140263,355.636815555556,150.144911111111,114.401924537778
15100494666,15100611307,116641,410.0981225,149.908105,109.745127065
15100694635,15100828174,133539,498.949226666667,147.17478,106.388391258889
15100977951,15101078007,100056,549.229348571429,114.428877142857,98.2874785042857
15101161514,15101261438,99924,348.824905714286,181.729428571429,94.7811036457143
15101294617,15101594507,299890,342.182947368421,202.571492631579,90.1858691363158
15101631564,15101761374,129810,388.304551111111,213.940813333333,92.1965351855555
15101794525,15101977937,183412,386.651371666667,211.605698333333,97.2495292516667
15102011288,15102128084,116796,364.18171,201.0851,103.94117942875
15102177960,15102294522,116562,327.5804775,217.0904875,104.11963257625
15102347094,15102477928,130834,401.666828888889,202.787095555556,107.385189322222
15102733981,15103094512,360531,499.193093043478,239.253371304348,110.453557065652
15103135267,15103345642,210375,526.195467142857,222.355847142857,108.452468549286
15103377837,15103544585,166748,556.2185,207.921041818182,105.122485098182
15104034035,15104144531,110496,682.7333125,148.317895,94.1539083025
15104177821,15104377817,199996,691.299341538462,169.00488,92.8556774438461
15104411178,15104527936,116758,732.9110875,175.4043175,91.714320005
15104694425,15105061169,366744,783.432588695652,161.739526956522,92.5096430404348
15105094380,15105394377,299997,824.846769473684,158.009171578947,85.7972427321053
15105461236,15105594382,133146,855.885426666667,165.277591111111,84.88978409
15105635002,15105761340,126338,882.610962222222,165.688815555556,84.9217453477778
15105977685,15106094393,116708,340.18701,172.47433,88.07180999
15106135127,15106261332,126205,331.003288888889,196.576124444444,87.2220443533333
15106427820,15106544506,116686,298.1581875,248.8284225,90.0812917375
15106735266,15106833991,98725,308.913902857143,238.024822857143,98.04520419
15106934588,15107044348,109760,316.95758,235.164315,102.43044092625
15107294266,15107810914,516648,324.251105625,190.84419875,107.530041916875
15107977683,15108294273,316590,411.891147,220.682412,95.5413254145
