"start","end","duration","startx","starty","endx","endy"
345551672076,345551755415,83339,666.58158,195.237258181818,465.04863,44.42703
345551874300,345551905378,31078,465.04863,44.42703,401.130957777778,40.8122644444444
345552038639,345552074477,35838,401.130957777778,40.8122644444444,385.625028571429,35.8115228571429
345552172788,345552855479,682691,385.625028571429,35.8115228571429,656.5009775,61.4126575
345552976705,345553255315,278610,656.5009775,61.4126575,816.931817142857,46.6567914285714
345553361870,345553388758,26888,816.931817142857,46.6567914285714,827.124908,40.178884
345553538640,345553688658,150018,827.124908,40.178884,685.386097142857,48.7100085714286
345553788874,345554021826,232952,685.386097142857,48.7100085714286,401.714714,90.081164
345554171945,345554264060,92115,401.714714,90.081164,524.321798461538,89.4362461538462
345554455594,345554838503,382909,524.321798461538,89.4362461538462,851.354938,22.752332
345554988647,345555088526,99879,851.354938,22.752332,478.525501428571,25.6998628571429
345555305157,345555361866,56709,478.525501428571,25.6998628571429,414.6732525,33.4543775
345555471917,345555658956,187039,414.6732525,33.4543775,503.9634775,11.324305
345555760761,345556105159,344398,503.9634775,11.324305,403.3003025,150.4441625
345556221702,345556264513,42811,403.3003025,150.4441625,371.192663529412,171.765724705882
345556521699,345556605139,83440,371.192663529412,171.765724705882,447.714622,183.539594
345556763778,345556788657,24879,447.714622,183.539594,478.156231111111,195.47478
345556921690,345557173978,252288,478.156231111111,195.47478,579.94144,126.37816
345557288506,345557321762,33256,579.94144,126.37816,575.207374,147.750188
345557471794,345557621708,149914,575.207374,147.750188,647.545758333333,129.562628333333
345557805178,345557838391,33213,647.545758333333,129.562628333333,705.007206666667,129.037755555556
345557975914,345558021723,45809,705.007206666667,129.037755555556,652.728274285714,132.859894285714
345558121682,345558159619,37937,652.728274285714,132.859894285714,633.75724,133.826682222222
345558288407,345558488595,200188,633.75724,133.826682222222,644.116962857143,142.754257142857
345558588591,345558805204,216613,644.116962857143,142.754257142857,719.084374285714,158.77404
345558971687,345559005066,33379,719.084374285714,158.77404,717.731982608696,127.157959130435
345559372171,345559438351,66180,717.731982608696,127.157959130435,754.018245454545,142.140863636364
345559605020,345560005004,399984,754.018245454545,142.140863636364,828.6138025,119.268075
345560254888,345560288376,33488,828.6138025,119.268075,869.89008,111.1587375
345560404918,345560538211,133293,869.89008,111.1587375,761.04066,131.554030909091
345560704915,345560738234,33319,761.04066,131.554030909091,768.699828,115.142439
345561055205,345561304885,249680,768.699828,115.142439,349.52780375,180.9091125
345561564897,345561738231,173334,349.52780375,180.9091125,824.746868235294,109.337464705882
345562004893,345562138125,133232,824.746868235294,109.337464705882,887.313945,76.02221
345562238117,345562271526,33409,887.313945,76.02221,893.36944125,88.65880125
345562521479,345562564336,42857,893.36944125,88.65880125,870.166348,107.466562
345562688294,345562721521,33227,870.166348,107.466562,870.411441428571,84.5475757142857
345562938106,345562971534,33428,870.411441428571,84.5475757142857,897.398001818182,93.9188981818182
345563138135,345563438198,300063,897.398001818182,93.9188981818182,912.426525,136.5125
345563621463,345563664439,42976,912.426525,136.5125,906.935215714286,112.236554285714
345563871442,345563904762,33320,906.935215714286,112.236554285714,924.65148,120.2836456
345564304802,345564438120,133318,924.65148,120.2836456,408.543794285714,192.723791428571
345564538014,345564571410,33396,408.543794285714,192.723791428571,384.1492625,170.44765
345564688509,345564737994,49485,384.1492625,170.44765,492.656075384615,178.616424615385
345564937987,345565021370,83383,492.656075384615,178.616424615385,619.886243076923,172.04762
345565221318,345565255152,33834,619.886243076923,172.04762,655.4902575,164.9279
345565373600,345565404644,31044,655.4902575,164.9279,673.859711111111,157.803588888889
345565538086,345565604637,66551,673.859711111111,157.803588888889,765.286563333333,150.795493333333
345565888150,345566171329,283179,765.286563333333,150.795493333333,823.46448875,153.92695375
345566421230,345566454840,33610,823.46448875,153.92695375,815.252965,123.053955
345566572191,345566604640,32449,815.252965,123.053955,814.0616975,109.0623225
345566721248,345566763812,42564,814.0616975,109.0623225,783.392273333333,128.440225555556
345567038140,345567073575,35435,783.392273333333,128.440225555556,799.912604,98.804514
345567221209,345567337868,116659,799.912604,98.804514,551.823692,130.25462
345567488038,345567521218,33180,551.823692,130.25462,517.737628571429,130.981228571429
345567621209,345567654819,33610,517.737628571429,130.981228571429,500.481517142857,137.725594285714
345567873626,345567904502,30876,500.481517142857,137.725594285714,490.006062857143,150.200291428571
345568004517,345568088011,83494,490.006062857143,150.200291428571,643.703112,148.38407
345568237872,345568321213,83341,643.703112,148.38407,764.363617777778,133.04054
345568464587,345568521200,56613,764.363617777778,133.04054,836.928956,123.96848
345568673040,345568963932,290892,836.928956,123.96848,908.862075,99.61534
345569137869,345569171208,33339,908.862075,99.61534,925.094033333333,116.237193333333
345569364473,345569537774,173301,925.094033333333,116.237193333333,378.353524,194.181104
345569687891,345569721120,33229,378.353524,194.181104,366.626790909091,205.524414545455
345569888040,345569987790,99750,366.626790909091,205.524414545455,753.023708888889,162.541817777778
345570121091,345570264320,143229,753.023708888889,162.541817777778,860.226286,126.679526
345570404424,345570437748,33324,860.226286,126.679526,904.112182857143,117.407921428571
345570659562,345570721114,61552,904.112182857143,117.407921428571,810.516284444445,108.248451111111
345570854417,345571065901,211484,810.516284444445,108.248451111111,465.707758461538,153.560169230769
345571254327,345571537767,283440,465.707758461538,153.560169230769,458.373696,158.29846
345571687791,345571721056,33265,458.373696,158.29846,434.108054,174.443896
345571871072,345571965999,94927,434.108054,174.443896,525.434470769231,160.746513846154
345572155275,345572204415,49140,525.434470769231,160.746513846154,583.55475625,191.6660675
