"start","end","dur","x","y","pupil"
341150668398,341150784824,116426,712.83499,213.925995,131.5448978925
341150868229,341150968471,100242,597.86828,207.759811428571,164.963901387143
341151218175,341151318173,99998,396.069942857143,61.1390428571429,148.648824738571
341151351455,341151518190,166735,375.231536363636,39.6847636363636,159.829180671818
341151551476,341151684825,133349,406.08788,47.1195911111111,164.674738148889
341151818182,341152018187,200005,536.095561538462,53.9243461538462,180.003682240769
341152218055,341152451566,233511,591.180577333333,80.959512,203.276824795333
341152801373,341153084703,283330,392.601308888889,125.887625555556,186.330964772778
341153118042,341153234818,116776,385.68249,126.7484025,179.68110226
341153418059,341153568135,150076,481.560564,143.319222,148.270302789
341153668279,341153801383,133104,466.295882222222,128.687673333333,145.334697087778
341154251463,341154368125,116662,529.366365,142.042895,141.50809922
341154401290,341154551428,150138,503.278076,162.154614,167.459118621
341154618044,341154718065,100021,510.621985714286,148.58798,140.88873233
341154751486,341154934781,183295,531.463915,149.009451666667,166.051354098333
341154968004,341155068202,100198,570.822274285714,153.342422857143,166.937915824286
341155101269,341155217926,116657,610.278545,142.478825,140.28298123125
341156284572,341156567994,283422,714.552618947369,115.842233684211,137.215186213158
341156601156,341156817917,216761,745.826872857143,130.443748571429,153.674051134286
341156851393,341157084569,233176,721.281025333333,141.716044,157.575281278
341157134659,341157351322,216663,805.03858,146.5386,152.250490777143
341157384562,341157551299,166737,825.1886,150.577392727273,153.715871952727
341157584555,341157951395,366840,871.074727826087,153.12602,147.63030644
341157984548,341158167849,183301,881.676246666667,145.65074,146.807980585
341158201156,341158417804,216648,855.657378571429,138.87576,154.176049513571
341158567854,341158667865,100011,380.016854285714,127.009885714286,158.408486771429
341158701185,341159051086,349901,379.402444545455,106.987326363636,152.763005030909
341159084454,341159267938,183484,407.820588333333,118.709948333333,154.287430325833
341159301010,341159434544,133534,440.318348888889,125.62624,161.072390737778
341159468167,341159867749,399582,456.7184608,132.2732032,163.3827128224
341159901045,341160084446,183401,481.636423333333,140.70389,161.837032868333
341160117678,341160434555,316877,512.562588,140.268071,156.270390685
341160467719,341160734426,266707,543.300817647059,140.748365882353,154.175194953529
341160767805,341161034402,266597,542.420063529412,134.435427058824,147.616769550588
341161201045,341161384322,183277,621.315291666667,156.918275,150.224733771667
341161650966,341162000903,349937,693.040488181818,163.771472727273,154.659504482273
341162036121,341162134923,98802,718.968691428571,161.876457142857,153.083592005714
341162167755,341162434425,266670,773.944663529412,163.810311764706,155.196371389412
341162467596,341162700929,233333,814.047674666667,175.697165333333,149.693200670667
341162751077,341162917550,166473,853.414701818182,166.343978181818,142.687564875455
341162951085,341163184181,233096,794.181556,173.218974666667,155.929575044667
341163217547,341163517571,300024,762.254944210526,175.633825263158,165.979182988421
341163551089,341163650970,99881,811.658362857143,164.894457142857,147.271367211429
341163684192,341163851088,166896,841.942389090909,162.548721818182,150.476964075455
341163884185,341164100757,216572,873.099048571429,166.295974285714,152.676165877143
341164134623,341164534579,399956,908.9021416,167.0301264,153.3413116932
341164567601,341164750847,183246,896.142508333333,157.752663333333,152.724641565
341164950844,341165684071,733227,371.318484444444,166.991042222222,150.386430744889
341165717429,341165967534,250105,415.7868575,161.52258875,141.6078689275
341166000789,341166150972,150183,449.569464,161.352484,155.659364841
341166184065,341166434233,250168,450.19594375,155.52547125,148.4508419375
341166467497,341166617417,149920,513.722788,157.39704,154.131388159
341166650814,341166867473,216659,528.756987142857,156.755781428571,153.95799239
341166900669,341167317310,416641,563.365589230769,154.784443076923,154.344912306154
341167350744,341167517318,166574,558.883081818182,157.524814545455,153.981628062727
341167767423,341168067363,299940,583.432622105263,170.716295789474,150.214684314737
341168150814,341168283943,133129,635.178764444444,187.963915555556,153.057705457778
341168467367,341168717307,249940,683.4532175,180.32113875,143.501220284375
341168750918,341168850840,99922,713.975931428571,173.41948,152.956425038571
341168883952,341169050583,166631,759.284269090909,171.487429090909,144.778686860909
341169083946,341169200515,116569,798.546535,161.883135,142.78852528875
341169234223,341169367630,133407,820.149271111111,170.613366666667,137.70262933
341169400543,341169667381,266838,858.925083529412,181.491161176471,139.873887527647
341169700537,341170000529,299992,885.393607368421,187.880323157895,150.072661748421
