"start","end","dur","x","y","pupil"
92862759883,92862893465,133582,722.683557142857,482.426,117.735434222857
92862926342,92863109922,183580,621.2523,425.904708333333,119.448111235833
92863142939,92863259562,116623,594.234575,313.69065,119.31260505875
92863383168,92863726190,343022,417.794913636364,124.377931818182,117.542581348636
92863759564,92863993049,233485,562.7724,114.018006666667,112.379269653333
92864192912,92864395036,202124,396.938523076923,130.619992307692,112.699397763846
92864526178,92864683489,157311,493.52535,108.59551,113.46844156
92864709821,92864980903,271082,398.5136125,97.1004625,119.58777289
92865682516,92865842752,160236,381.87811,278.45187,127.79972033
92867794184,92868059275,265091,-2,-91,37.1046243114286
92868409443,92868692748,283305,597.174505555556,167.723144444444,134.833467882222
92868792753,92869209555,416802,688.914065384615,172.080146153846,134.233483719615
92869242507,92869659320,416813,616.8513,169.908415,132.3383630315
92869783531,92869942506,158975,654.973190909091,171.0449,125.710780722727
92870542506,92870659189,116683,608.8992625,248.33875,136.87753055875
92871092966,92885390985,14298019,-2,-91,0
92885423345,92885739876,316531,384.97643,91.9605,98.0020785265
92885783754,92885956562,172808,469.378441666667,86.6172583333333,131.757969213333
92886006783,92886139903,133120,415.8543,81.9547666666667,99.7930502966667
92886239885,92886556560,316675,528.903945,101.783605,78.75318324
92886592682,92887083339,490657,596.576273333333,132.658216666667,120.923771176
92887156571,92887290608,134037,-2,-91,125.491590753333
92887641293,92887813757,172464,2.90355714285714,-91,0
92887947019,92888430329,483310,753.929,125.813325,81.4271771175
92888563680,92888683590,119910,754.7425125,188.12435,116.56929453875
92888713988,92888913979,199991,922.297761538461,140.285823076923,108.575800206154
92889246963,92889346915,99952,350.5701,188.4103,124.37590985
92889383785,92889514177,130392,-2,-91,129.870612525556
92889546911,92889713647,166736,481.424063636364,142.972054545455,208.716948784545
92889897049,92890646928,749879,577.293606521739,115.284708695652,125.865221355
92890685635,92890883702,198067,649.197776923077,146.669423076923,186.77903774
92890913865,92891483325,569460,728.15798,160.096628571429,233.459836712571
92891513633,92891784156,270523,841.334764705882,174.936588235294,229.266449378235
92891863560,92892013653,150093,834.30513,154.14781,258.438023813
92892480315,92893013758,533443,412.027581818182,154.952327272727,186.290743381515
92893063436,92893246803,183367,517.001225,167.230216666667,153.911575895833
92893284174,92893530074,245900,-2,-91,123.6948266075
