"start","end","duration","startx","starty","endx","endy"
432052413193,432052472432,59239,661.296257142857,567.190257142857,689.9861,485.895766666667
432052695987,432052762755,66768,689.9861,485.895766666667,464.198514285714,210.263728571429
432052862727,432052979408,116681,464.198514285714,210.263728571429,411.41119047619,51.7657238095238
432053312595,432053462614,150019,411.41119047619,51.7657238095238,544.80524375,57.54215625
432053712565,432053746102,33537,544.80524375,57.54215625,616.339609523809,54.1671952380952
432054079280,432054179285,100005,616.339609523809,54.1671952380952,761.34395625,14.966953125
432054712566,432054747916,35350,761.34395625,14.966953125,716.997338888889,6.91074444444444
432055029211,432055062713,33502,716.997338888889,6.91074444444444,387.429292,26.224068
432055462518,432055495846,33328,387.429292,26.224068,397.830359574468,31.8657170212766
432056262512,432056295868,33356,397.830359574468,31.8657170212766,493.894842857143,31.4162357142857
432056512443,432056545956,33513,493.894842857143,31.4162357142857,607.684544444444,30.5211777777778
432056829129,432056862666,33537,607.684544444444,30.5211777777778,689.248888888889,18.5929111111111
432057145886,432057179170,33284,689.248888888889,18.5929111111111,621.05549,24.7839066666667
432057662510,432057695728,33218,621.05549,24.7839066666667,709.807986666667,21.56646
432057930306,432057962377,32071,709.807986666667,21.56646,809.871391666667,19.334625
432058748138,432058795717,47579,809.871391666667,19.334625,407.681769230769,23.2274230769231
432058995726,432059028965,33239,407.681769230769,23.2274230769231,425.431979661017,44.7680949152542
432059995618,432060028970,33352,425.431979661017,44.7680949152542,431.228793333333,73.2879466666667
432060262255,432060295591,33336,431.228793333333,73.2879466666667,425.719523076923,89.7296
432060495599,432060528967,33368,425.719523076923,89.7296,432.28009375,83.9537625
432060779048,432060812207,33159,432.28009375,83.9537625,411.437529787234,131.12139787234
432061579177,432061612190,33013,411.437529787234,131.12139787234,502.697915151515,126.837775757576
432062145626,432062178932,33306,502.697915151515,126.837775757576,592.181659259259,126.761574074074
432062612192,432062645596,33404,592.181659259259,126.761574074074,687.983134285714,126.357731428571
432063212073,432063247205,35132,687.983134285714,126.357731428571,746.6364,120.31073
432063562120,432063595468,33348,746.6364,120.31073,807.989402857143,127.432
432064745756,432064778766,33010,807.989402857143,127.432,884.636192105263,106.730131578947
432065395340,432065462003,66663,884.636192105263,106.730131578947,411.445613333333,141.714993333333
432065695352,432065728732,33380,411.445613333333,141.714993333333,400.655084,152.851812
432066562101,432066595328,33227,400.655084,152.851812,471.677887037037,148.856527777778
432067478677,432067511940,33263,471.677887037037,148.856527777778,559.346652777778,136.281013888889
432068095241,432068128604,33363,559.346652777778,136.281013888889,633.862135483871,124.952648387097
432068628474,432068662081,33607,633.862135483871,124.952648387097,748.653084210526,144.763557894737
432069595095,432069628470,33375,748.653084210526,144.763557894737,835.069078571429,153.051489285714
432070078772,432070111808,33036,835.069078571429,153.051489285714,878.152533333333,136.601666666667
432070245434,432070311710,66276,878.152533333333,136.601666666667,390.785835,145.36217
432070961747,432070995118,33371,390.785835,145.36217,447.849458823529,120.566405882353
432071261771,432071361842,100071,447.849458823529,120.566405882353,415.467551851852,40.5823740740741
432071795114,432071828352,33238,415.467551851852,40.5823740740741,579.316995833333,33.7615666666667
432072211694,432072245130,33436,579.316995833333,33.7615666666667,647.624146666667,29.2389466666667
432072478394,432072511698,33304,647.624146666667,29.2389466666667,779.260456,22.032288
432072911576,432072945147,33571,779.260456,22.032288,819.6633625,16.8018875
432073061666,432073094993,33327,819.6633625,16.8018875,738.376447619048,21.2415428571429
432073428331,432073478461,50130,738.376447619048,21.2415428571429,430.021014285714,34.6346071428571
432073694977,432073728211,33234,430.021014285714,34.6346071428571,382.294364705882,70.8435411764706
432073994984,432074028223,33239,382.294364705882,70.8435411764706,436.01975,127.495091666667
432074211555,432074245040,33485,436.01975,127.495091666667,548.638380952381,134.211433333333
432074578296,432074611567,33271,548.638380952381,134.211433333333,663.888673333333,140.7633
432074846426,432074878259,31833,663.888673333333,140.7633,748.0575625,120.78671875
432075128215,432075161734,33519,748.0575625,120.78671875,841.654535714286,126.658046428571
432075611438,432075661499,50061,841.654535714286,126.658046428571,422.105569444444,162.490936111111
432076245764,432076278178,32414,422.105569444444,162.490936111111,507.540136363636,166.909006060606
432076811457,432076847264,35807,507.540136363636,166.909006060606,575.256185714286,158.860328571429
432077294720,432077328088,33368,575.256185714286,158.860328571429,651.406686956522,158.27912173913
432077694730,432077728087,33357,651.406686956522,158.27912173913,731.611752380952,148.753985714286
432078061373,432078094730,33357,731.611752380952,148.753985714286,784.389744067797,148.847423728814
432079061381,432079094744,33363,784.389744067797,148.847423728814,863.745870833333,145.442929166667
432079478188,432079527961,49773,863.745870833333,145.442929166667,407.196933333333,165.602676190476
432079861387,432079894605,33218,407.196933333333,165.602676190476,392.299236363636,169.2358
432080061532,432080094620,33088,392.299236363636,169.2358,457.551885185185,193.973355555556
432080527985,432080561394,33409,457.551885185185,193.973355555556,545.932881481481,179.562174074074
432080994626,432081027840,33214,545.932881481481,179.562174074074,617.555692,182.285208
432081427857,432081461252,33395,617.555692,182.285208,694.714016666667,188.611080555556
432082044603,432082078060,33457,694.714016666667,188.611080555556,793.347812727273,177.489832727273
432082977920,432083011076,33156,793.347812727273,177.489832727273,882.421114285714,179.741157142857
432083344687,432083394469,49782,882.421114285714,179.741157142857,418.875933333333,199.788588888889
432083527720,432083561127,33407,418.875933333333,199.788588888889,399.773360240964,202.572469879518
432084927725,432084977905,50180,399.773360240964,202.572469879518,892.427828,176.423512
432085377785,432085527731,149946,892.427828,176.423512,460.46767,196.999865
432086178384,432086210951,32567,460.46767,196.999865,555.229697058823,206.040164705882
432086761181,432086794352,33171,555.229697058823,206.040164705882,647.829863157895,210.355576315789
432087410934,432087444389,33455,647.829863157895,210.355576315789,726.809630612245,203.641716326531
432088244296,432088277872,33576,726.809630612245,203.641716326531,820.957521428571,198.920364285714
432088727475,432088760897,33422,820.957521428571,198.920364285714,896.69345,202.049129166667
432089144903,432089194240,49337,896.69345,202.049129166667,464.71658,210.25649
432089344758,432089377530,32772,464.71658,210.25649,393.830692857143,223.475133333333
432090060900,432090094122,33222,393.830692857143,223.475133333333,475.168324,228.785252
432090494132,432090527481,33349,475.168324,228.785252,542.322,218.282682608696
432090894093,432090927336,33243,542.322,218.282682608696,408.34492,230.271565
432091245313,432091277411,32098,408.34492,230.271565,511.252917391304,223.1778
432091646050,432091677663,31613,511.252917391304,223.1778,594.86083,223.139665
432091994040,432092277432,283392,594.86083,223.139665,695.6125,240.397290909091
432092627355,432092660639,33284,695.6125,240.397290909091,724.159555263158,225.221531578947
432093277421,432093310576,33155,724.159555263158,225.221531578947,693.514761538461,228.248580769231
432093727217,432093760809,33592,693.514761538461,228.248580769231,790.32102,226.076568571429
432094327213,432094360684,33471,790.32102,226.076568571429,872.791929166667,218.403695833333
432095144658,432095177295,32637,872.791929166667,218.403695833333,903.76026,227.775066666667
432095410435,432095477514,67079,903.76026,227.775066666667,404.917,238.289114285714
432095693863,432095727218,33355,404.917,238.289114285714,402.105203333333,249.695136666667
432096210424,432096244722,34298,402.105203333333,249.695136666667,491.571889473684,250.665368421053
432096545413,432096577160,31747,491.571889473684,250.665368421053,580.47966,244.582725
432096893704,432096927089,33385,580.47966,244.582725,660.147233333333,252.713866666667
432097260496,432097293746,33250,660.147233333333,252.713866666667,769.522876,241.896048
432097693736,432097727110,33374,769.522876,241.896048,857.560820689655,243.888093103448
432098193745,432098243840,50095,857.560820689655,243.888093103448,390.373068965517,269.917527586207
432098710316,432098743914,33598,390.373068965517,269.917527586207,468.628993333333,267.1799
432099227135,432099260420,33285,468.628993333333,267.1799,555.357139130435,265.288917391304
432099626976,432099660382,33406,555.357139130435,265.288917391304,661.919435714286,265.078403571429
432100110197,432100145021,34824,661.919435714286,265.078403571429,758.198996296296,252.9788
432100577041,432100610183,33142,758.198996296296,252.9788,842.943667647059,256.460541176471
432101160330,432101193601,33271,842.943667647059,256.460541176471,891.4165,278.493342857143
432101293600,432101360262,66662,891.4165,278.493342857143,410.578034782609,288.839143478261
